"","beta","S.E.","CI.lower","CI.upper","p.value"
"Desigualdade",164.553464571334,20.7995344084517,122.623682189148,207.425457962389,0
"Crescimento de Renda",-19.5567557880263,3.27430791761154,-26.1388974835276,-13.1789783419685,0
