"","beta","S.E.","CI.lower","CI.upper","p.value"
"Desigualdade",164.553464571334,21.5317160089346,122.580969618218,207.808146382379,0
"Crescimento de Renda",-19.5567557880263,3.39312229982255,-26.4580517864351,-13.0855456346424,0
