"","beta","S.E.","CI.lower","CI.upper","p.value"
"Desigualdade",164.553464571334,21.4253853056068,122.705052046863,209.271744605556,0
"Crescimento de Renda",-19.5567557880263,3.45742219587589,-26.4307720919604,-12.6959505675301,0
