"","beta","S.E.","CI.lower","CI.upper","p.value"
"Desigualdade",56.6586338376387,8.15229285334106,42.9308223437146,74.7191706345049,0
"Crescimento de Renda",-10.4449701290929,1.33674235219714,-12.9076377338669,-7.48089874781584,0
