"","beta","S.E.","CI.lower","CI.upper","p.value"
"Desigualdade",164.553464571334,21.4007750427174,121.585998501238,208.020941312038,0
"Crescimento de Renda",-19.5567557880263,3.44263441641312,-26.4212692292713,-12.8866267926589,0
