"","beta","S.E.","CI.lower","CI.upper","p.value"
"Desigualdade",164.553464571334,22.058876867864,121.18284887838,209.311547847471,0
"Crescimento de Renda",-19.5567557880263,3.49648731464904,-26.4577674179788,-12.6502740394944,0
