"","beta","S.E.","CI.lower","CI.upper","p.value"
"Desigualdade",164.553464571334,21.2130473316854,121.943693486991,205.769941106261,0
"Crescimento de Renda",-19.5567557880263,3.42996057476456,-26.0625368927312,-12.7227649013534,0
