"","beta","S.E.","CI.lower","CI.upper","p.value"
"Desigualdade",164.553464571334,21.8266003888551,122.193793574407,206.880797130285,0
"Crescimento de Renda",-19.5567557880263,3.40862402368564,-25.980314963161,-12.635816834491,0
